 model, mpg,  odometer, miles, gallons, price, fuelup_date
Ford Focus,36.24,35419,173,4.77,4.08,3/31/2013
Ford Focus,32.38,35709,290,8.96,4.13,4/4/2013
Ford Focus,36.99,36073,364,9.84,3.91,4/5/2013
Ford Focus,36.68,36569,392,10.69,4.299,4/7/2013
Ford Focus,27.48,36177,104,3.79,4.059,4/7/2013
Ford Focus,32.21,36878,309,9.59,4.02,4/12/2013
Ford Focus,31.49,37154,276,8.76,4.02,4/17/2013
Ford Focus,36.31,37528,374,10.3,3.97,4/21/2013
Ford Focus,33.16,37869,341,10.28,3.94,4/26/2013
Ford Focus,32.76,38191,322,9.83,3.93,4/30/2013
Ford Focus,32.24,38496,305,9.46,3.999,5/4/2013
Ford Focus,32.99,38847,351,10.64,4.1,5/8/2013
Ford Focus,32.62,39177,330,10.12,4.1,5/12/2013
Ford Focus,30.35,39504,327,10.78,4.1,5/17/2013
Ford Focus,33.2,39815,311,9.37,4.1,5/21/2013
Ford Focus,33.29,40160,345,10.36,4.08,5/27/2013
Ford Focus,23.96,40408,248,10.35,4.09,6/1/2013
Ford Focus,40.24,40826,418,10.39,4.03,6/6/2013
Ford Focus,33.54,41189,363,10.82,3.979,6/9/2013
Ford Focus,34.3,41534,345,10.06,4.06,6/13/2013
Ford Focus,37.32,41927,393,10.53,4.05,6/17/2013
Ford Focus,34.69,42275,348,10.03,4.11,6/20/2013
Ford Focus,33.82,42600,325,9.61,4.2,6/24/2013
Nissan Frontier,25.44,158855,248,9.75,4.14,6/26/2013
Ford Focus,36.54,42977,377,10.32,4.07,6/27/2013
Ford Focus,31.61,43303,326,10.31,4.06,7/1/2013
Ford Focus,30.82,43580,277,8.99,4,7/8/2013
Ford Focus,36.45,43905,325,8.92,4.07,7/11/2013
Nissan Frontier,27.09,159189,334,12.33,4.02,7/11/2013
Nissan Frontier,28.21,159501,312,11.06,4.05,7/15/2013
Nissan Frontier,26.9,159762,261,9.7,4.12,7/17/2013
Nissan Frontier,28.47,160077,315,11.07,4.15,7/20/2013
Nissan Frontier,25.78,160356,279,10.82,4.13,7/23/2013
Ford Focus,27.79,44204,299,10.76,4.034,8/4/2013
Nissan Frontier,26.84,160706,350,13.04,3.99,8/7/2013
Ford Focus,34.55,44532,328,9.49,4,8/8/2013
Ford Focus,35.7,44872,340,9.52,4.02,8/12/2013
Ford Focus,35.54,45204,332,9.34,3.96,8/15/2013
Nissan Frontier,25.75,161033,327,12.7,3.899,8/15/2013
